v0,w0,v1,w1,payload,,deltav,deltaw,deltavv,deltaww,Etransit
0,0,0.5,0.3,0,,0.5,0.3,0.25,0.09,106.0823171
0.1,0.3,0.3,0.3,0,,0.2,0,0.08,0,30.515854
0.1,0.5,0.5,0.5,0,,0.4,0,0.24,0,83.52561
0.3,0.1,0.3,0.5,0,,0,0.4,0,0.24,35.510976
0.3,0.3,0.5,0.1,0,,0.2,-0.2,0.16,-0.08,111.75061
0.3,0.5,0.1,0.3,0,,-0.2,-0.2,-0.08,-0.16,54.569512
0.5,0.1,0.5,0.3,0,,0,0.2,0,0.08,51.079878
0.5,0.3,0.1,0.5,0,,-0.4,0.2,-0.24,0.16,27.605488
0.5,0.5,0.3,0.1,0,,-0.2,-0.4,-0.16,-0.24,88.708537
0.1,0.2,0.2,0.2,0,,0.1,0,0.03,0,34.26097561
0.1,0.4,0.4,0.4,0,,0.3,0,0.15,0,38.97256098
0.2,0.1,0.2,0.3,0,,0,0.2,0,0.08,56.50182928
0.2,0.2,0.3,0.4,0,,0.1,0.2,0.05,0.12,58.91951219
0.2,0.3,0.4,0.5,0,,0.2,0.2,0.12,0.16,55.04756098
0.2,0.4,0.5,0.1,0,,0.3,-0.3,0.21,-0.15,99.15487806
0.5,0.3,0.2,0.1,0,,-0.3,-0.2,-0.21,-0.08,63.71646341
0.5,0.4,0.3,0.2,0,,-0.2,-0.2,-0.16,-0.12,47.75792683
0.5,0.5,0.4,0.3,0,,-0.1,-0.2,-0.09,-0.16,26.3140244
0,0,0.3,0.1,1,,0.3,0.1,0.09,0.01,65.71890243
0,0,0.5,0.5,1,,0.5,0.5,0.25,0.25,117.8286585
0,0,0.4,0,1,,0.4,0,0.16,0,89.13471951
0.4,0,0.5,0.5,1,,0.1,0.5,0.09,0.25,94.21463415
0.5,0.5,0.2,0.3,1,,-0.3,-0.2,-0.21,-0.16,36.12073171
0.2,0.3,0.5,0,1,,0.3,-0.3,0.21,-0.09,49.39573171
0.2,0,0.3,0.5,1,,0.1,0.5,0.05,0.25,84.5
0.3,0.5,0.2,0.3,1,,-0.1,-0.2,-0.05,-0.16,75.23109756
0.2,0.3,0.3,0,1,,0.1,-0.3,0.05,-0.09,42.37621951
0.3,0,0.3,0.2,1,,0,0.2,0,0.04,61.30304878
0.3,0.2,0,0,1,,-0.3,-0.2,-0.09,-0.04,63.75670732
0,0,0,0.5,1,,0,0.5,0,0.25,59.1554878
0,0.5,0.4,0,1,,0.4,-0.5,0.16,-0.25,73.01402439
0.4,0,0,0.3,1,,-0.4,0.3,-0.16,0.09,27.35365854
0,0.3,0.3,0,1,,0.3,-0.3,0.09,-0.09,100.1390244
0.3,0.3,0.4,0.4,1,,0.1,0.1,0.07,0.07,67.925
0.4,0.4,0.5,0.5,1,,0.1,0.1,0.09,0.09,44.67006098
0.5,0.5,0,0,1,,-0.5,-0.5,-0.25,-0.25,20.31713415
0,0,0.1,0.5,2,,0.1,0.5,0.01,0.25,58.15121951
0,0,0.3,0.3,2,,0.3,0.3,0.09,0.09,67.20792682
0,0,0.4,0,2,,0.4,0,0.16,0,80.24085366
0.4,0,0.5,0.5,2,,0.1,0.5,0.09,0.25,106.9098
0.5,0.5,0.2,0.3,2,,-0.3,-0.2,-0.21,-0.16,54.8152439
0.2,0.3,0.5,0,2,,0.3,-0.3,0.21,-0.09,150.0164634
0.5,0,0.4,0.3,2,,-0.1,0.3,-0.09,0.09,84.56341463
0.4,0.3,0,0,2,,-0.4,-0.3,-0.16,-0.09,40.23414634
0.3,0.3,0.4,0.4,2,,0.1,0.1,0.07,0.07,119.8719512
0.4,0.4,0.5,0.5,2,,0.1,0.1,0.09,0.09,112.8091463
0.5,0.5,0,0,2,,-0.5,-0.5,-0.25,-0.25,29.17865854
0.2,0.3,0.3,0,2,,0.1,-0.3,0.05,-0.09,57.00914634
0.3,0,0.3,0.2,2,,0,0.2,0,0.04,37.48902439
0.3,0.2,0,0,2,,-0.3,-0.2,-0.09,-0.04,24.7597561
0,0,0,0.5,2,,0,0.5,0,0.25,59.18292683
0,0.5,0.4,0,2,,0.4,-0.5,0.16,-0.25,130.2378049
0.4,0,0,0.3,2,,-0.4,0.3,-0.16,0.09,67.63231707
0,0.3,0.3,0,2,,0.3,-0.3,0.09,-0.09,103.0957317
0.3,0.4,0.1,0.3,0,,-0.2,-0.1,-0.08,-0.07,53.33292683
0.3,0.5,0.2,0.4,0,,-0.1,-0.1,-0.05,-0.09,30.24512196
0.4,0.1,0.4,0.2,0,,0,0.1,0,0.03,41.60914634
0.4,0.2,0.5,0.3,0,,0.1,0.1,0.09,0.05,53.37804878
0.4,0.3,0.1,0.4,0,,-0.3,0.1,-0.15,0.07,40.97195122
0.4,0.4,0.2,0.5,0,,-0.2,0.1,-0.12,0.09,45.35
0.4,0.5,0.3,0.1,0,,-0.1,-0.4,-0.07,-0.24,43.07439024
0.5,0.1,0.5,0.4,0,,0,0.3,0,0.15,47.88170731
0.5,0.2,0.1,0.5,0,,-0.4,0.3,-0.24,0.21,53.12317072
0.2,0.5,0.1,0.2,0,,-0.1,-0.3,-0.03,-0.21,22.76036585
0.3,0.2,0.4,0.1,0,,0.1,-0.1,0.07,-0.03,50.92073166
0.3,0.3,0.5,0.2,0,,0.2,-0.1,0.16,-0.05,72.36463414
0.3,0,0,0.4,1,,-0.3,0.4,-0.09,0.16,68.47317073
0,0.4,0.5,0,1,,0.5,-0.4,0.25,-0.16,126.575
0.5,0,0.3,0.4,1,,-0.2,0.4,-0.16,0.16,75.23597561
0.3,0.4,0,0,1,,-0.3,-0.4,-0.09,-0.16,30.62439024
0,0,0.1,0.1,1,,0.1,0.1,0.01,0.01,20.09512195
0.1,0.1,0.5,0.5,1,,0.4,0.4,0.24,0.24,72.4095122
0.5,0.5,0.2,0.2,1,,-0.3,-0.3,-0.21,-0.21,38.82731707
0.2,0.2,0.3,0.3,1,,0.1,0.1,0.05,0.05,37.29603659
0.5,0,0.4,0.3,1,,-0.1,0.3,-0.09,0.09,93.55549
0.4,0.3,0,0,1,,-0.4,-0.3,-0.16,-0.09,32.50914634
0,0,0.2,0,1,,0.2,0,0.04,0,82.10365854
0.3,0,0,0.4,2,,-0.3,0.4,-0.09,0.16,38.1445122
0,0.4,0.5,0,2,,0.5,-0.4,0.25,-0.16,91.14695122
0.5,0,0.3,0.4,2,,-0.2,0.4,-0.16,0.16,97.75426829
0.3,0.4,0,0,2,,-0.3,-0.4,-0.09,-0.16,33.10243902
0,0,0.1,0.1,2,,0.1,0.1,0.01,0.01,36.40365854
0.1,0.1,0.5,0.5,2,,0.4,0.4,0.24,0.24,153.7341463
0.5,0.5,0.2,0.2,2,,-0.3,-0.3,-0.21,-0.21,80.70792683
0.2,0.2,0.3,0.3,2,,0.1,0.1,0.05,0.05,100.8817073
0,0,0.2,0,2,,0.2,0,0.04,0,44.66890244
0.2,0,0.3,0.5,2,,0.1,0.5,0.05,0.25,56.09817073
0.3,0.5,0.2,0.3,2,,-0.1,-0.2,-0.05,-0.16,104.8329268
