Numbering,v0,w0,v1,w1,payload,unit weight,m,Pmax,M,Payload,Ro,wheel_v1,wheel_v2,wheel_v3,wheel_v4,P_useful,w2,v2,w3,v3,w4,v4,P_ut,P_ul,Pstable,Padditional,eta
0,0,0,0,0,0,5.8,50,41.69,50,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,41.69,0,
1,0,0,0.1,0,0,5.8,50,80.5,50,0,,0.1,0.1,0.1,0.1,49,0,0.01,0,0.001,0,0.0001,0,49,50.11,8.42,0.171836735
2,0,0,0.2,0,0,5.8,50,126.78,50,0,,0.2,0.2,0.2,0.2,98,0,0.04,0,0.008,0,0.0016,0,98,58.27,16.58,0.169183673
3,0,0,0.3,0,0,5.8,50,167.04,50,0,,0.3,0.3,0.3,0.3,147,0,0.09,0,0.027,0,0.0081,0,147,65.32,23.63,0.160748299
4,0,0,0.4,0,0,5.8,50,176.41,50,0,,0.4,0.4,0.4,0.4,196,0,0.16,0,0.064,0,0.0256,0,196,72.78,31.09,0.158622449
5,0,0,0.5,0,0,5.8,50,278.54,50,0,,0.5,0.5,0.5,0.5,245,0,0.25,0,0.125,0,0.0625,0,245,79.9,38.21,0.155959184
6,0.1,0.4,0.5,0,1,5.8,50,,55.8,1,,0.5,0.5,0.5,0.5,273.42,0,0.25,0,0.125,0,0.0625,0,273.42,118.5910151,76.9010151,0.281255998
7,0,0,0.2,0,1,5.8,50,,55.8,1,,0.2,0.2,0.2,0.2,109.368,0,0.04,0,0.008,0,0.0016,0,109.368,81.50731707,39.81731707,0.364067342
8,0,0.5,0.4,0,1,5.8,50,,55.8,1,,0.4,0.4,0.4,0.4,218.736,0,0.16,0,0.064,0,0.0256,0,218.736,97.55969191,55.86969191,0.255420653
9,0,0.3,0.3,0,1,5.8,50,,55.8,1,,0.3,0.3,0.3,0.3,164.052,0,0.09,0,0.027,0,0.0081,0,164.052,89.32691242,47.63691242,0.290376907
10,0.2,0.3,0.5,0,2,5.8,50,,61.6,2,,0.5,0.5,0.5,0.5,301.84,0,0.25,0,0.125,0,0.0625,0,301.84,132.3592077,90.6692077,0.300388311
11,0.1,0.4,0.5,0,2,5.8,50,,61.6,2,,0.5,0.5,0.5,0.5,301.84,0,0.25,0,0.125,0,0.0625,0,301.84,132.3592077,90.6692077,0.300388311
12,0,0.5,0.4,0,2,5.8,50,,61.6,2,,0.4,0.4,0.4,0.4,241.472,0,0.16,0,0.064,0,0.0256,0,241.472,100.1675225,58.4775225,0.242171028
13,0,0.3,0.3,0,2,5.8,50,,61.6,2,,0.3,0.3,0.3,0.3,181.104,0,0.09,0,0.027,0,0.0081,0,181.104,91.01135408,49.32135408,0.272337188
14,0,0,0,0.1,0,5.8,50,94.07,50,0,0,0.038027128,0.038027128,0.038027128,0.038027128,16.11539648,0.01,0,0.001,0,0.0001,0,16.11539648,0,88.75,47.06,
15,0,0,0.1,0.1,0,5.8,50,94.37,50,0,1,0.130368948,0.130368948,0.076785822,0.076785822,49.87645931,0.01,0.01,0.001,0.001,0.0001,0.0001,49.87645931,0,80.32,38.63,
16,0,0,0.5,0.1,0,5.8,50,265.12,50,0,5,0.528390067,0.528390067,0.472965181,0.472965181,245.1660178,0.01,0.25,0.001,0.125,0.0001,0.0625,245.1660178,0,111.33,69.64,
17,0,0,0.3,0.1,0,5.8,50,166.02,50,0,3,0.328779656,0.328779656,0.273488688,0.273488688,147.2778722,0.01,0.09,0.001,0.027,0.0001,0.0081,147.2778722,0,93.48,51.79,
18,0,0,0.5,0.1,0,5.8,50,265.12,50,0,5,0.528390067,0.528390067,0.472965181,0.472965181,245.1660178,0.01,0.25,0.001,0.125,0.0001,0.0625,245.1660178,0,111.33,69.64,
19,0.5,0.5,0.3,0.1,0,5.8,50,62.78,50,0,3,0.328779656,0.328779656,0.273488688,0.273488688,147.2778722,0.01,0.09,0.001,0.027,0.0001,0.0081,147.2778722,0,113.7,72.01,
20,0,0,0.3,0.1,1,5.8,50,172.26,55.8,1,3,0.328779656,0.328779656,0.273488688,0.273488688,164.3621054,0.01,0.09,0.001,0.027,0.0001,0.0081,164.3621054,0,107.2,65.51,
21,0,0,0.1,0.1,1,5.8,50,99.15,55.8,1,1,0.130368948,0.130368948,0.076785822,0.076785822,55.66212859,0.01,0.01,0.001,0.001,0.0001,0.0001,55.66212859,0,85.3,43.61,
22,0,0,0.5,0.1,1,5.8,50,276.07,55.8,1,5,0.528390067,0.528390067,0.472965181,0.472965181,273.6052759,0.01,0.25,0.001,0.125,0.0001,0.0625,273.6052759,0,120.23,78.54,
23,0,0,0.1,0.1,1,5.8,50,,55.8,1,1,0.130368948,0.130368948,0.076785822,0.076785822,55.66212859,0.01,0.01,0.001,0.001,0.0001,0.0001,55.66212859,0,110.2372935,68.5472935,
24,0,0,0.5,0.1,2,5.8,50,334.74,61.6,2,5,0.528390067,0.528390067,0.472965181,0.472965181,302.044534,0.01,0.25,0.001,0.125,0.0001,0.0625,302.044534,0,140.11,98.42,
25,0,0,0.1,0.1,2,5.8,50,98.28,61.6,2,1,0.130368948,0.130368948,0.076785822,0.076785822,61.44779787,0.01,0.01,0.001,0.001,0.0001,0.0001,61.44779787,0,90.34,48.65,
26,0,0,0.3,0.1,2,5.8,50,164.44,61.6,2,3,0.328779656,0.328779656,0.273488688,0.273488688,181.4463386,0.01,0.09,0.001,0.027,0.0001,0.0081,181.4463386,0,112.21,70.52,
27,0,0,0.1,0.1,2,5.8,50,,61.6,2,1,0.130368948,0.130368948,0.076785822,0.076785822,61.44779787,0.01,0.01,0.001,0.001,0.0001,0.0001,61.44779787,0,115.366,73.676,
28,0,0,0,0.2,0,5.8,50,102.09,50,0,0,0.076054257,0.076054257,0.076054257,0.076054257,32.23079295,0.04,0,0.008,0,0.0016,0,32.23079295,0,98.05,56.36,
29,0.5,0.5,0.2,0.2,1,5.8,50,,55.8,1,1,0.260737895,0.260737895,0.153571645,0.153571645,111.3242572,0.04,0.04,0.008,0.008,0.0016,0.0016,111.3242572,0,129.5624047,87.8724047,
30,0.5,0.5,0.2,0.2,2,5.8,50,,61.6,2,1,0.260737895,0.260737895,0.153571645,0.153571645,122.8955957,0.04,0.04,0.008,0.008,0.0016,0.0016,122.8955957,0,138,96.31,
31,0,0,0,0.3,0,5.8,50,122.12,50,0,0,0.114081385,0.114081385,0.114081385,0.114081385,48.34618943,0.09,0,0.027,0,0.0081,0,48.34618943,0,114.62,72.93,
32,0,0,0.5,0.3,0,5.8,50,274.4,50,0,1.666666667,0.588442489,0.588442489,0.423986512,0.423986512,246.5225526,0.09,0.25,0.027,0.125,0.0081,0.0625,246.5225526,0,138.47,96.78,
33,0,0,0.1,0.3,0,5.8,50,130.91,50,0,0.333333333,0.199159641,0.199159641,0.079778208,0.079778208,58.66988649,0.09,0.01,0.027,0.001,0.0081,0.0001,58.66988649,0,111.74,70.05,
34,0,0,0.3,0.3,0,5.8,50,189.4,50,0,1,0.391106843,0.391106843,0.230357467,0.230357467,149.6293779,0.09,0.09,0.027,0.027,0.0081,0.0081,149.6293779,0,112.92,71.23,
35,0.1,0.3,0.3,0.3,0,5.8,50,172.94,50,0,1,0.391106843,0.391106843,0.230357467,0.230357467,149.6293779,0.09,0.09,0.027,0.027,0.0081,0.0081,149.6293779,0,132.79,91.1,
36,0.3,0.5,0.1,0.3,0,5.8,50,101.16,50,0,0.333333333,0.199159641,0.199159641,0.079778208,0.079778208,58.66988649,0.09,0.01,0.027,0.001,0.0081,0.0001,58.66988649,0,135.05,93.36,
37,0.5,0.1,0.5,0.3,0,5.8,50,183.44,50,0,1.666666667,0.588442489,0.588442489,0.423986512,0.423986512,246.5225526,0.09,0.25,0.027,0.125,0.0081,0.0625,246.5225526,0,157.28,115.59,
38,0,0,0.1,0.3,1,5.8,50,135.59,55.8,1,0.333333333,0.199159641,0.199159641,0.079778208,0.079778208,65.47559333,0.09,0.01,0.027,0.001,0.0081,0.0001,65.47559333,0,134.08,92.39,
39,0,0,0.3,0.3,1,5.8,50,205.88,55.8,1,1,0.391106843,0.391106843,0.230357467,0.230357467,166.9863858,0.09,0.09,0.027,0.027,0.0081,0.0081,166.9863858,0,123.51,81.82,
40,0,0,0.5,0.3,1,5.8,50,244.18,55.8,1,1.666666667,0.588442489,0.588442489,0.423986512,0.423986512,275.1191687,0.09,0.25,0.027,0.125,0.0081,0.0625,275.1191687,0,149.67,107.98,
41,0.5,0,0.4,0.3,1,5.8,50,,55.8,1,1.333333333,0.489504405,0.489504405,0.32621245,0.32621245,220.8846512,0.09,0.16,0.027,0.064,0.0081,0.0256,220.8846512,0,110.7747817,69.0847817,
42,0.4,0,0,0.3,1,5.8,50,,55.8,1,0,0.114081385,0.114081385,0.114081385,0.114081385,53.9543474,0.09,0,0.027,0,0.0081,0,53.9543474,0,47.95353009,6.26353009,
43,0.2,0.2,0.3,0.3,1,5.8,50,,55.8,1,1,0.391106843,0.391106843,0.230357467,0.230357467,166.9863858,0.09,0.09,0.027,0.027,0.0081,0.0081,166.9863858,0,156.5449477,114.8549477,
44,0.5,0.5,0.2,0.3,1,5.8,50,,55.8,1,0.666666667,0.293793401,0.293793401,0.140408556,0.140408556,114.0437495,0.09,0.04,0.027,0.008,0.0081,0.0016,114.0437495,0,93.49822946,51.80822946,
45,0,0,0.3,0.3,2,5.8,50,203.93,61.6,2,1,0.391106843,0.391106843,0.230357467,0.230357467,184.3433936,0.09,0.09,0.027,0.027,0.0081,0.0081,184.3433936,0,146.89,105.2,
46,0,0,0.1,0.3,2,5.8,50,152.23,61.6,2,0.333333333,0.199159641,0.199159641,0.079778208,0.079778208,72.28130016,0.09,0.01,0.027,0.001,0.0081,0.0001,72.28130016,0,134.62,92.93,
47,0,0,0.5,0.3,2,5.8,50,334.79,61.6,2,1.666666667,0.588442489,0.588442489,0.423986512,0.423986512,303.7157848,0.09,0.25,0.027,0.125,0.0081,0.0625,303.7157848,0,163.96,122.27,
48,0.5,0.5,0.2,0.3,2,5.8,50,,61.6,2,0.666666667,0.293793401,0.293793401,0.140408556,0.140408556,125.8977593,0.09,0.04,0.027,0.008,0.0081,0.0016,125.8977593,0,71.91296697,30.22296697,
49,0.5,0,0.4,0.3,2,5.8,50,,61.6,2,1.333333333,0.489504405,0.489504405,0.32621245,0.32621245,243.8439877,0.09,0.16,0.027,0.064,0.0081,0.0256,243.8439877,0,90.74773405,49.05773405,
50,0.4,0,0,0.3,2,5.8,50,,61.6,2,0,0.114081385,0.114081385,0.114081385,0.114081385,59.56250538,0.09,0,0.027,0,0.0081,0,59.56250538,0,61.67163291,19.98163291,
51,0.2,0.2,0.3,0.3,2,5.8,50,,61.6,2,1,0.391106843,0.391106843,0.230357467,0.230357467,184.3433936,0.09,0.09,0.027,0.027,0.0081,0.0081,184.3433936,0,167.8306489,126.1406489,
52,0,0,0,0.4,0,5.8,50,172.17,50,0,0,0.152108514,0.152108514,0.152108514,0.152108514,64.4615859,0.16,0,0.064,0,0.0256,0,64.4615859,0,128.87,87.18,
53,0.5,0,0.1,0.4,1,5.8,50,,55.8,1,0.25,0.235238177,0.235238177,0.104580113,0.104580113,76.80617843,0.16,0.01,0.064,0.001,0.0256,0.0001,76.80617843,0,135.029216,93.339216,
54,0.3,0,0,0.4,1,5.8,50,,55.8,1,0,0.152108514,0.152108514,0.152108514,0.152108514,71.93912987,0.16,0,0.064,0,0.0256,0,71.93912987,0,166.1074695,124.4174695,
55,0.5,0,0.3,0.4,1,5.8,50,,55.8,1,0.75,0.423954007,0.423954007,0.215724361,0.215724361,169.4764297,0.16,0.09,0.064,0.027,0.0256,0.0081,169.4764297,0,163.0832317,121.3932317,
56,0.3,0.3,0.4,0.4,1,5.8,50,,55.8,1,1,0.52147579,0.52147579,0.307143289,0.307143289,222.6485144,0.16,0.16,0.064,0.064,0.0256,0.0256,222.6485144,0,175.2393592,133.5493592,
57,0.5,0,0.1,0.4,2,5.8,50,,61.6,2,0.25,0.235238177,0.235238177,0.104580113,0.104580113,84.78961633,0.16,0.01,0.064,0.001,0.0256,0.0001,84.78961633,0,148.8955295,107.2055295,
58,0.3,0,0,0.4,2,5.8,50,,61.6,2,0,0.152108514,0.152108514,0.152108514,0.152108514,79.41667383,0.16,0,0.064,0,0.0256,0,79.41667383,0,181.5479675,139.8579675,
59,0.5,0,0.3,0.4,2,5.8,50,,61.6,2,0.75,0.423954007,0.423954007,0.215724361,0.215724361,187.0922593,0.16,0.09,0.064,0.027,0.0256,0.0081,187.0922593,0,172.4857724,130.7957724,
60,0.3,0.3,0.4,0.4,2,5.8,50,,61.6,2,1,0.52147579,0.52147579,0.307143289,0.307143289,245.7911915,0.16,0.16,0.064,0.064,0.0256,0.0256,245.7911915,0,190.7049818,149.0149818,
61,0,0,0,0.5,0,5.8,50,175.53,50,0,0,0.190135642,0.190135642,0.190135642,0.190135642,80.57698238,0.25,0,0.125,0,0.0625,0,80.57698238,0,143.38,101.69,
62,0,0,0.3,0.5,0,5.8,50,193.66,50,0,0.6,0.457604155,0.457604155,0.207126924,0.207126924,154.9295571,0.25,0.09,0.125,0.027,0.0625,0.0081,154.9295571,0,139.42,97.73,
63,0.1,0.5,0.5,0.5,0,5.8,50,260.49,50,0,1,0.651844738,0.651844738,0.383929111,0.383929111,249.3822965,0.25,0.25,0.125,0.125,0.0625,0.0625,249.3822965,0,176.64,134.95,
64,0,0,0.5,0.5,0,5.8,50,234.91,50,0,1,0.651844738,0.651844738,0.383929111,0.383929111,249.3822965,0.25,0.25,0.125,0.125,0.0625,0.0625,249.3822965,0,153.48,111.79,
65,0,0,0.1,0.5,0,5.8,50,172.57,50,0,0.2,0.271848418,0.271848418,0.135652359,0.135652359,83.91259521,0.25,0.01,0.125,0.001,0.0625,0.0001,83.91259521,0,138.4,96.71,
66,0.3,0.1,0.3,0.5,0,5.8,50,218.07,50,0,0.6,0.457604155,0.457604155,0.207126924,0.207126924,154.9295571,0.25,0.09,0.125,0.027,0.0625,0.0081,154.9295571,0,157.84,116.15,
67,0,0,0.5,0.5,1,5.8,50,260.83,55.8,1,1,0.651844738,0.651844738,0.383929111,0.383929111,278.3106429,0.25,0.25,0.125,0.125,0.0625,0.0625,278.3106429,0,179.11,137.42,
68,0,0,0.1,0.5,1,5.8,50,170.89,55.8,1,0.2,0.271848418,0.271848418,0.135652359,0.135652359,93.64645626,0.25,0.01,0.125,0.001,0.0625,0.0001,93.64645626,0,155.94,114.25,
69,0,0,0.3,0.5,1,5.8,50,210.13,55.8,1,0.6,0.457604155,0.457604155,0.207126924,0.207126924,172.9013857,0.25,0.09,0.125,0.027,0.0625,0.0081,172.9013857,0,152.03,110.34,
70,0.2,0,0.3,0.5,1,5.8,50,,55.8,1,0.6,0.457604155,0.457604155,0.207126924,0.207126924,172.9013857,0.25,0.09,0.125,0.027,0.0625,0.0081,172.9013857,0,178.3262195,136.6362195,
71,0,0,0,0.5,1,5.8,50,,55.8,1,0,0.190135642,0.190135642,0.190135642,0.190135642,89.92391234,0.25,0,0.125,0,0.0625,0,89.92391234,0,187.4519817,145.7619817,
72,0.1,0.1,0.5,0.5,1,5.8,50,,55.8,1,1,0.651844738,0.651844738,0.383929111,0.383929111,278.3106429,0.25,0.25,0.125,0.125,0.0625,0.0625,278.3106429,0,197.7286585,156.0386585,
73,0,0,0.1,0.5,2,5.8,50,234.78,61.6,2,0.2,0.271848418,0.271848418,0.135652359,0.135652359,103.3803173,0.25,0.01,0.125,0.001,0.0625,0.0001,103.3803173,0,182.92,141.23,
74,0,0,0.3,0.5,2,5.8,50,243.56,61.6,2,0.6,0.457604155,0.457604155,0.207126924,0.207126924,190.8732144,0.25,0.09,0.125,0.027,0.0625,0.0081,190.8732144,0,164.41,122.72,
