,v0,w0,v1,w1,payload,unit weight,m,Pmax,Pstable,M,r,P_ul,wheel_v1,wheel_v2,wheel_v3,wheel_v4,P_ut,P_useful,w2,v2,w3,v3,w4,v4
0,0.0,0.0,0.0,0.0,0,5.8,50,41.69,41.69,50.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.1,0.0,0,5.8,50,80.5,50.11,50.0,,49.00000000000001,0.1,0.1,0.1,0.1,0.0,49.00000000000001,0.0,0.010000000000000002,0.0,0.0010000000000000002,0.0,0.00010000000000000003
2,0.0,0.0,0.2,0.0,0,5.8,50,126.78,58.27,50.0,,98.00000000000001,0.2,0.2,0.2,0.2,0.0,98.00000000000001,0.0,0.04000000000000001,0.0,0.008000000000000002,0.0,0.0016000000000000005
3,0.0,0.0,0.3,0.0,0,5.8,50,167.04,65.32,50.0,,147.0,0.3,0.3,0.3,0.3,0.0,147.0,0.0,0.09,0.0,0.027,0.0,0.0081
4,0.0,0.0,0.4,0.0,0,5.8,50,176.41,72.78,50.0,,196.00000000000003,0.4,0.4,0.4,0.4,0.0,196.00000000000003,0.0,0.16000000000000003,0.0,0.06400000000000002,0.0,0.025600000000000008
5,0.0,0.0,0.5,0.0,0,5.8,50,278.54,79.9,50.0,,245.00000000000003,0.5,0.5,0.5,0.5,0.0,245.00000000000003,0.0,0.25,0.0,0.125,0.0,0.0625
6,0.1,0.4,0.5,0.0,1,5.8,50,,118.5910151,55.8,,273.42,0.5,0.5,0.5,0.5,0.0,273.42,0.0,0.25,0.0,0.125,0.0,0.0625
7,0.0,0.0,0.2,0.0,1,5.8,50,,81.50731707,55.8,,109.36800000000001,0.2,0.2,0.2,0.2,0.0,109.36800000000001,0.0,0.04000000000000001,0.0,0.008000000000000002,0.0,0.0016000000000000005
8,0.0,0.5,0.4,0.0,1,5.8,50,,97.55969191,55.8,,218.73600000000002,0.4,0.4,0.4,0.4,0.0,218.73600000000002,0.0,0.16000000000000003,0.0,0.06400000000000002,0.0,0.025600000000000008
9,0.0,0.3,0.3,0.0,1,5.8,50,,89.32691242,55.8,,164.052,0.3,0.3,0.3,0.3,0.0,164.052,0.0,0.09,0.0,0.027,0.0,0.0081
10,0.2,0.3,0.5,0.0,2,5.8,50,,132.3592077,61.6,,301.84000000000003,0.5,0.5,0.5,0.5,0.0,301.84000000000003,0.0,0.25,0.0,0.125,0.0,0.0625
11,0.1,0.4,0.5,0.0,2,5.8,50,,132.3592077,61.6,,301.84000000000003,0.5,0.5,0.5,0.5,0.0,301.84000000000003,0.0,0.25,0.0,0.125,0.0,0.0625
12,0.0,0.5,0.4,0.0,2,5.8,50,,100.1675225,61.6,,241.47200000000004,0.4,0.4,0.4,0.4,0.0,241.47200000000004,0.0,0.16000000000000003,0.0,0.06400000000000002,0.0,0.025600000000000008
13,0.0,0.3,0.3,0.0,2,5.8,50,,91.01135408,61.6,,181.104,0.3,0.3,0.3,0.3,0.0,181.104,0.0,0.09,0.0,0.027,0.0,0.0081
14,0.0,0.0,0.0,0.1,0,5.8,50,94.07,88.75,50.0,0.0,0.0,0.038027128474287936,0.038027128474287936,0.038027128474287936,0.038027128474287936,18.633292952401092,18.633292952401092,0.010000000000000002,0.0,0.0010000000000000002,0.0,0.00010000000000000003,0.0
15,0.0,0.0,0.1,0.1,0,5.8,50,94.37,80.32,50.0,1.0,0.0,0.07678582225906029,0.07678582225906029,0.130368947606399,0.130368947606399,50.75291861703754,50.75291861703754,0.010000000000000002,0.010000000000000002,0.0010000000000000002,0.0010000000000000002,0.00010000000000000003,0.00010000000000000003
16,0.0,0.0,0.5,0.1,0,5.8,50,265.12,111.33,50.0,5.0,0.0,0.47296518106516044,0.47296518106516044,0.5283900666174564,0.5283900666174564,245.33203568224116,245.33203568224116,0.010000000000000002,0.25,0.0010000000000000002,0.125,0.00010000000000000003,0.0625
17,0.0,0.0,0.3,0.1,0,5.8,50,166.02,93.48,50.0,2.9999999999999996,0.0,0.2734886880658869,0.2734886880658869,0.3287796564570259,0.3287796564570259,147.55574440811364,147.55574440811364,0.010000000000000002,0.09,0.0010000000000000002,0.027,0.00010000000000000003,0.0081
18,0.0,0.0,0.5,0.1,0,5.8,50,265.12,111.33,50.0,5.0,0.0,0.47296518106516044,0.47296518106516044,0.5283900666174564,0.5283900666174564,245.33203568224116,245.33203568224116,0.010000000000000002,0.25,0.0010000000000000002,0.125,0.00010000000000000003,0.0625
19,0.5,0.5,0.3,0.1,0,5.8,50,62.78,113.7,50.0,2.9999999999999996,0.0,0.2734886880658869,0.2734886880658869,0.3287796564570259,0.3287796564570259,147.55574440811364,147.55574440811364,0.010000000000000002,0.09,0.0010000000000000002,0.027,0.00010000000000000003,0.0081
20,0.0,0.0,0.3,0.1,1,5.8,50,172.26,107.2,55.8,2.9999999999999996,0.0,0.2734886880658869,0.2734886880658869,0.3287796564570259,0.3287796564570259,164.67221075945483,164.67221075945483,0.010000000000000002,0.09,0.0010000000000000002,0.027,0.00010000000000000003,0.0081
21,0.0,0.0,0.1,0.1,1,5.8,50,99.15,85.3,55.8,1.0,0.0,0.07678582225906029,0.07678582225906029,0.130368947606399,0.130368947606399,56.640257176613886,56.640257176613886,0.010000000000000002,0.010000000000000002,0.0010000000000000002,0.0010000000000000002,0.00010000000000000003,0.00010000000000000003
22,0.0,0.0,0.5,0.1,1,5.8,50,276.07,120.23,55.8,5.0,0.0,0.47296518106516044,0.47296518106516044,0.5283900666174564,0.5283900666174564,273.79055182138114,273.79055182138114,0.010000000000000002,0.25,0.0010000000000000002,0.125,0.00010000000000000003,0.0625
23,0.0,0.0,0.1,0.1,1,5.8,50,,110.2372935,55.8,1.0,0.0,0.07678582225906029,0.07678582225906029,0.130368947606399,0.130368947606399,56.640257176613886,56.640257176613886,0.010000000000000002,0.010000000000000002,0.0010000000000000002,0.0010000000000000002,0.00010000000000000003,0.00010000000000000003
24,0.0,0.0,0.5,0.1,2,5.8,50,334.74,140.11,61.6,5.0,0.0,0.47296518106516044,0.47296518106516044,0.5283900666174564,0.5283900666174564,302.24906796052113,302.24906796052113,0.010000000000000002,0.25,0.0010000000000000002,0.125,0.00010000000000000003,0.0625
25,0.0,0.0,0.1,0.1,2,5.8,50,98.28,90.34,61.6,1.0,0.0,0.07678582225906029,0.07678582225906029,0.130368947606399,0.130368947606399,62.52759573619024,62.52759573619024,0.010000000000000002,0.010000000000000002,0.0010000000000000002,0.0010000000000000002,0.00010000000000000003,0.00010000000000000003
26,0.0,0.0,0.3,0.1,2,5.8,50,164.44,112.21,61.6,2.9999999999999996,0.0,0.2734886880658869,0.2734886880658869,0.3287796564570259,0.3287796564570259,181.78867711079602,181.78867711079602,0.010000000000000002,0.09,0.0010000000000000002,0.027,0.00010000000000000003,0.0081
27,0.0,0.0,0.1,0.1,2,5.8,50,,115.366,61.6,1.0,0.0,0.07678582225906029,0.07678582225906029,0.130368947606399,0.130368947606399,62.52759573619024,62.52759573619024,0.010000000000000002,0.010000000000000002,0.0010000000000000002,0.0010000000000000002,0.00010000000000000003,0.00010000000000000003
28,0.0,0.0,0.0,0.2,0,5.8,50,102.09,98.05,50.0,0.0,0.0,0.07605425694857587,0.07605425694857587,0.07605425694857587,0.07605425694857587,37.266585904802184,37.266585904802184,0.04000000000000001,0.0,0.008000000000000002,0.0,0.0016000000000000005,0.0
29,0.5,0.5,0.2,0.2,1,5.8,50,,129.5624047,55.8,1.0,0.0,0.15357164451812058,0.15357164451812058,0.260737895212798,0.260737895212798,113.28051435322777,113.28051435322777,0.04000000000000001,0.04000000000000001,0.008000000000000002,0.008000000000000002,0.0016000000000000005,0.0016000000000000005
30,0.5,0.5,0.2,0.2,2,5.8,50,,138.0,61.6,1.0,0.0,0.15357164451812058,0.15357164451812058,0.260737895212798,0.260737895212798,125.05519147238049,125.05519147238049,0.04000000000000001,0.04000000000000001,0.008000000000000002,0.008000000000000002,0.0016000000000000005,0.0016000000000000005
31,0.0,0.0,0.0,0.3,0,5.8,50,122.12,114.62,50.0,0.0,0.0,0.1140813854228638,0.1140813854228638,0.1140813854228638,0.1140813854228638,55.89987885720327,55.89987885720327,0.09,0.0,0.027,0.0,0.0081,0.0
